,date,subscribers,changes
0,18.01.24,551378,+415
1,17.01.24,550963,+2061
2,16.01.24,548902,+2043
3,15.01.24,546859,+2539
4,14.01.24,544320,+2021
5,13.01.24,542299,+2984
6,12.01.24,539315,+3654
7,11.01.24,535661,+2727
8,10.01.24,532934,+2840
9,09.01.24,530094,+2438
10,08.01.24,527656,+1156
11,07.01.24,526500,+2067
12,06.01.24,524433,+1893
13,05.01.24,522540,+2314
14,04.01.24,520226,+1877
15,03.01.24,518349,+1405
16,02.01.24,516944,+1919
17,01.01.24,515025,+1125
18,31.12.23,513900,+2824
19,30.12.23,511076,+4137
20,29.12.23,506939,+6026
21,28.12.23,500913,+4870
22,27.12.23,496043,+5183
23,26.12.23,490860,+4919
24,25.12.23,485941,+5152
25,24.12.23,480789,+3775
26,23.12.23,477014,+4262
27,22.12.23,472752,+6348
28,21.12.23,466404,+5315
29,20.12.23,461089,+4336
30,19.12.23,456753,+5702
31,18.12.23,451051,+2177
32,17.12.23,448874,+1869
33,16.12.23,447005,+1819
34,15.12.23,445186,+5380
35,14.12.23,439806,-521
36,13.12.23,440327,-1254
37,12.12.23,441581,+5085
38,11.12.23,436496,+2422
39,10.12.23,434074,+1972
40,09.12.23,432102,+2849
41,08.12.23,429253,+4114
42,07.12.23,425139,+4883
43,06.12.23,420256,+3596
44,05.12.23,416660,+4661
45,04.12.23,411999,+4429
46,03.12.23,407570,+2467
47,02.12.23,405103,+4168
48,01.12.23,400935,+5881
49,30.11.23,395054,+5719
50,29.11.23,389335,+4973
51,28.11.23,384362,+4247
52,27.11.23,380115,+3777
53,26.11.23,376338,+1612
54,25.11.23,374726,+3516
55,24.11.23,371210,+6776
56,23.11.23,364434,+6070
57,22.11.23,358364,+6163
58,21.11.23,352201,+5823
59,20.11.23,346378,+5305
60,19.11.23,341073,+4244
61,18.11.23,336829,+4895
62,17.11.23,331934,+9721
63,16.11.23,322213,+8303
64,15.11.23,313910,+5219
65,14.11.23,308691,+3345
66,13.11.23,305346,+2451
67,12.11.23,302895,+1760
68,11.11.23,301135,+2014
69,10.11.23,299121,+2976
70,09.11.23,296145,+3798
71,08.11.23,292347,+1175
72,07.11.23,291172,+1534
73,06.11.23,289638,-56
74,05.11.23,289694,+206
75,04.11.23,289488,+395
76,03.11.23,289093,+92
77,02.11.23,289001,-31
78,01.11.23,289032,+1
79,31.10.23,289031,+42
80,30.10.23,288989,-41
81,29.10.23,289030,+331
82,28.10.23,288699,+170
83,27.10.23,288529,+107
84,26.10.23,288422,-4
85,25.10.23,288426,+75
86,24.10.23,288351,+631
87,23.10.23,287720,+253
88,22.10.23,287467,+139
89,21.10.23,287328,+109
90,20.10.23,287219,+189
91,19.10.23,287030,-255
92,18.10.23,287285,-388
93,17.10.23,287673,-498
94,16.10.23,288171,-511
95,15.10.23,288682,-382
96,14.10.23,289064,-359
97,13.10.23,289423,-473
98,12.10.23,289896,-60
99,11.10.23,289956,+28
100,10.10.23,289928,+29
101,09.10.23,289899,+87
102,08.10.23,289812,+83
103,07.10.23,289729,+99
104,06.10.23,289630,+112
105,05.10.23,289518,-5
106,04.10.23,289523,+41
107,03.10.23,289482,+52
108,02.10.23,289430,-77
109,01.10.23,289507,+28
110,30.09.23,289479,+132
111,29.09.23,289347,+77
112,28.09.23,289270,+83
113,27.09.23,289187,-49
114,26.09.23,289236,-73
115,25.09.23,289309,+178
116,24.09.23,289131,+228
117,23.09.23,288903,+129
118,22.09.23,288774,-84
119,21.09.23,288858,-264
120,20.09.23,289122,-199
121,19.09.23,289321,-207
122,18.09.23,289528,-289
123,17.09.23,289817,-148
124,16.09.23,289965,+115
125,15.09.23,289850,-290
126,14.09.23,290140,-475
127,13.09.23,290615,-323
128,12.09.23,290938,-314
129,11.09.23,291252,-472
130,10.09.23,291724,-357
131,09.09.23,292081,-317
132,08.09.23,292398,-372
133,07.09.23,292770,-253
134,06.09.23,293023,-291
135,05.09.23,293314,-285
136,04.09.23,293599,-215
137,03.09.23,293814,+270
138,02.09.23,293544,+126
139,01.09.23,293418,-208
140,31.08.23,293626,-68
141,30.08.23,293694,+121
142,29.08.23,293573,+178
143,28.08.23,293395,+92
144,27.08.23,293303,+439
145,26.08.23,292864,+380
146,25.08.23,292484,+462
147,24.08.23,292022,+72
148,23.08.23,291950,+290
149,22.08.23,291660,+317
150,21.08.23,291343,+165
151,20.08.23,291178,+325
152,19.08.23,290853,+609
153,18.08.23,290244,+549
154,17.08.23,289695,+218
155,16.08.23,289477,+208
156,15.08.23,289269,+244
157,14.08.23,289025,+510
158,13.08.23,288515,+706
159,12.08.23,287809,+620
160,11.08.23,287189,+223
161,10.08.23,286966,+221
162,09.08.23,286745,+450
163,08.08.23,286295,+307
164,07.08.23,285988,+344
165,06.08.23,285644,+520
166,05.08.23,285124,+321
167,04.08.23,284803,+149
168,03.08.23,284654,+286
169,02.08.23,284368,+423
170,01.08.23,283945,+675
171,31.07.23,283270,+620
172,30.07.23,282650,+573
173,29.07.23,282077,+527
174,28.07.23,281550,+431
175,27.07.23,281119,+186
176,26.07.23,280933,+152
177,25.07.23,280781,+157
178,24.07.23,280624,+493
179,23.07.23,280131,+709
180,22.07.23,279422,+382
181,21.07.23,279040,+307
182,20.07.23,278733,+469
183,19.07.23,278264,+224
184,18.07.23,278040,+223
185,17.07.23,277817,+235
186,16.07.23,277582,+457
187,15.07.23,277125,+275
188,14.07.23,276850,+212
189,13.07.23,276638,+276
190,12.07.23,276362,+114
191,11.07.23,276248,-7
192,10.07.23,276255,+171
193,09.07.23,276084,+396
194,08.07.23,275688,+267
195,07.07.23,275421,+253
196,06.07.23,275168,+245
197,05.07.23,274923,+471
198,04.07.23,274452,+434
199,03.07.23,274018,+271
200,02.07.23,273747,+763
201,01.07.23,272984,+553
202,30.06.23,272431,+478
203,29.06.23,271953,+477
204,28.06.23,271476,+383
205,27.06.23,271093,+550
206,26.06.23,270543,+563
207,25.06.23,269980,+710
208,24.06.23,269270,+620
209,23.06.23,268650,+537
210,22.06.23,268113,+501
211,21.06.23,267612,+631
212,20.06.23,266981,+512
213,19.06.23,266469,+520
214,18.06.23,265949,+691
215,17.06.23,265258,+624
216,16.06.23,264634,+690
217,15.06.23,263944,-217
218,14.06.23,264161,+35
219,13.06.23,264126,+70
220,12.06.23,264056,+105
221,11.06.23,263951,+56
222,10.06.23,263895,-125
223,09.06.23,264020,-127
224,08.06.23,264147,+63
225,07.06.23,264084,-30
226,06.06.23,264114,-115
227,05.06.23,264229,-141
228,04.06.23,264370,+60
229,03.06.23,264310,+9
230,02.06.23,264301,+78
231,01.06.23,264223,-176
232,31.05.23,264399,-69
233,30.05.23,264468,+17
234,29.05.23,264451,-62
235,28.05.23,264513,+103
236,27.05.23,264410,+113
237,26.05.23,264297,+8
238,25.05.23,264289,-34
239,24.05.23,264323,-110
240,23.05.23,264433,+162
241,22.05.23,264271,+78
242,21.05.23,264193,+91
243,20.05.23,264102,-69
244,19.05.23,264171,+183
245,18.05.23,263988,+1317
246,17.05.23,262671,+717
247,16.05.23,261954,-105
248,15.05.23,262059,+21
249,14.05.23,262038,+49
250,13.05.23,261989,+150
251,12.05.23,261839,+8
252,11.05.23,261831,-72
253,10.05.23,261903,-124
254,09.05.23,262027,+59
255,08.05.23,261968,+144
256,07.05.23,261824,+265
257,06.05.23,261559,+158
258,05.05.23,261401,-85
259,04.05.23,261486,+759
260,03.05.23,260727,+2857
261,02.05.23,257870,-21
262,01.05.23,257891,-64
263,30.04.23,257955,+148
264,29.04.23,257807,+93
265,28.04.23,257714,+105
266,27.04.23,257609,+28
267,26.04.23,257581,-186
268,25.04.23,257767,-76
269,24.04.23,257843,-110
270,23.04.23,257953,-36
271,22.04.23,257989,+23
272,21.04.23,257966,-5
273,20.04.23,257971,-28
274,19.04.23,257999,+129
275,18.04.23,257870,+3
276,17.04.23,257867,-17
277,16.04.23,257884,+84
278,15.04.23,257800,-57
279,14.04.23,257857,-131
280,13.04.23,257988,-184
281,12.04.23,258172,-188
282,11.04.23,258360,-128
283,10.04.23,258488,+12
284,09.04.23,258476,+84
285,08.04.23,258392,+4
286,07.04.23,258388,+26
287,06.04.23,258362,+146
288,05.04.23,258216,+933
289,04.04.23,257283,+2492
290,03.04.23,254791,+44
291,02.04.23,254747,+16
292,01.04.23,254731,+15
293,31.03.23,254716,+2
294,30.03.23,254714,+51
295,29.03.23,254663,-111
296,28.03.23,254774,-92
297,27.03.23,254866,-28
298,26.03.23,254894,+167
299,25.03.23,254727,+283
300,24.03.23,254444,+303
301,23.03.23,254141,-3
302,22.03.23,254144,+82
303,21.03.23,254062,+219
304,20.03.23,253843,+85
305,19.03.23,253758,+244
306,18.03.23,253514,+214
307,17.03.23,253300,+110
308,16.03.23,253190,+209
309,15.03.23,252981,+27
310,14.03.23,252954,-334
311,13.03.23,253288,+2187
312,12.03.23,251101,+9844
313,11.03.23,241257,+887
314,10.03.23,240370,+758
315,09.03.23,239612,+1053
316,08.03.23,238559,+361
317,07.03.23,238198,+209
318,06.03.23,237989,+88
319,05.03.23,237901,+45
320,04.03.23,237856,+220
321,03.03.23,237636,+355
322,02.03.23,237281,+26
323,01.03.23,237255,+201
324,28.02.23,237054,+251
325,27.02.23,236803,+72
326,26.02.23,236731,+273
327,25.02.23,236458,+324
328,24.02.23,236134,+199
329,23.02.23,235935,+200
330,22.02.23,235735,-279
331,21.02.23,236014,+126
332,20.02.23,235888,+18
333,19.02.23,235870,+354
334,18.02.23,235516,+236
335,17.02.23,235280,+445
336,16.02.23,234835,+185
337,15.02.23,234650,+23
338,14.02.23,234627,-89
339,13.02.23,234716,-65
340,12.02.23,234781,+168
341,11.02.23,234613,+331
342,10.02.23,234282,+70
343,09.02.23,234212,+200
344,08.02.23,234012,+557
345,07.02.23,233455,+507
346,06.02.23,232948,-70
347,05.02.23,233018,+193
348,04.02.23,232825,+201
349,03.02.23,232624,+42
350,02.02.23,232582,+102
351,01.02.23,232480,+135
352,31.01.23,232345,-76
353,30.01.23,232421,+221
354,29.01.23,232200,+296
355,28.01.23,231904,+345
356,27.01.23,231559,+244
357,26.01.23,231315,+180
358,25.01.23,231135,-16
359,24.01.23,231151,+154
360,23.01.23,230997,+86
361,22.01.23,230911,+264
362,21.01.23,230647,+279
363,20.01.23,230368,+118
364,19.01.23,230250,+24
365,18.01.23,230226,-45
366,17.01.23,230271,-39
367,16.01.23,230310,+70
368,15.01.23,230240,+375
369,14.01.23,229865,+278
370,13.01.23,229587,+252
371,12.01.23,229335,+242
372,11.01.23,229093,+34
373,10.01.23,229059,-24
374,09.01.23,229083,+57
375,08.01.23,229026,+326
376,07.01.23,228700,+453
377,06.01.23,228247,+442
378,05.01.23,227805,+184
379,04.01.23,227621,+256
380,03.01.23,227365,+437
381,02.01.23,226928,+481
382,01.01.23,226447,+1337
383,31.12.22,225110,+144
384,30.12.22,224966,+1
385,29.12.22,224965,-34
386,28.12.22,224999,-39
387,27.12.22,225038,-48
388,26.12.22,225086,-50
389,25.12.22,225136,+52
390,24.12.22,225084,+79
391,23.12.22,225005,+172
392,22.12.22,224833,-27
393,21.12.22,224860,+462
394,20.12.22,224398,-52
395,19.12.22,224450,+23
396,18.12.22,224427,+163
397,17.12.22,224264,+217
398,16.12.22,224047,+270
399,15.12.22,223777,+145
400,14.12.22,223632,+229
401,13.12.22,223403,+124
402,12.12.22,223279,+162
403,11.12.22,223117,+189
404,10.12.22,222928,+204
405,09.12.22,222724,+86
406,08.12.22,222638,+270
407,07.12.22,222368,+187
408,06.12.22,222181,+21
409,05.12.22,222160,+5
410,04.12.22,222155,+217
411,03.12.22,221938,+378
412,02.12.22,221560,+153
413,01.12.22,221407,-3
414,30.11.22,221410,-8
415,29.11.22,221418,+154
416,28.11.22,221264,+24
417,27.11.22,221240,+165
418,26.11.22,221075,+272
419,25.11.22,220803,+240
420,24.11.22,220563,+128
421,23.11.22,220435,+14
422,22.11.22,220421,-190
423,21.11.22,220611,-13
424,20.11.22,220624,+69
425,19.11.22,220555,+236
426,18.11.22,220319,+108
427,17.11.22,220211,-9
428,16.11.22,220220,+69
429,15.11.22,220151,-7
430,14.11.22,220158,+87
431,13.11.22,220071,+152
432,12.11.22,219919,+248
433,11.11.22,219671,+113
434,10.11.22,219558,+81
435,09.11.22,219477,-154
436,08.11.22,219631,-8
437,07.11.22,219639,-69
438,06.11.22,219708,+232
439,05.11.22,219476,+140
440,04.11.22,219336,+221
441,03.11.22,219115,+142
442,02.11.22,218973,+167
443,01.11.22,218806,-66
444,31.10.22,218872,+26
445,30.10.22,218846,+193
446,29.10.22,218653,+216
447,28.10.22,218437,+148
448,27.10.22,218289,-67
449,26.10.22,218356,-24
450,25.10.22,218380,-154
451,24.10.22,218534,-21
452,23.10.22,218555,+339
453,22.10.22,218216,+331
454,21.10.22,217885,+163
455,20.10.22,217722,+139
456,19.10.22,217583,+100
457,18.10.22,217483,-22
458,17.10.22,217505,-203
459,16.10.22,217708,+225
460,15.10.22,217483,+226
461,14.10.22,217257,+76
462,13.10.22,217181,+59
463,12.10.22,217122,-21
464,11.10.22,217143,-109
465,10.10.22,217252,+57
466,09.10.22,217195,+141
467,08.10.22,217054,+203
468,07.10.22,216851,+2
469,06.10.22,216849,-165
470,05.10.22,217014,-125
471,04.10.22,217139,-80
472,03.10.22,217219,-7
473,02.10.22,217226,+67
474,01.10.22,217159,+264
475,30.09.22,216895,-1
476,29.09.22,216896,-67
477,28.09.22,216963,+68
478,27.09.22,216895,+2
479,26.09.22,216893,+53
480,25.09.22,216840,+420
481,24.09.22,216420,+45
482,23.09.22,216375,-158
483,22.09.22,216533,-79
484,21.09.22,216612,+15
485,20.09.22,216597,+113
486,19.09.22,216484,-10
487,18.09.22,216494,+123
488,17.09.22,216371,+171
489,16.09.22,216200,+5
490,15.09.22,216195,+26
491,14.09.22,216169,+19
492,13.09.22,216150,+13
493,12.09.22,216137,+1
494,11.09.22,216136,+596
495,10.09.22,215540,+22
496,09.09.22,215518,+89
497,08.09.22,215429,-70
498,07.09.22,215499,-46
499,06.09.22,215545,+24
500,05.09.22,215521,+65
501,04.09.22,215456,+238
502,03.09.22,215218,+248
503,02.09.22,214970,+27
504,01.09.22,214943,-43
505,31.08.22,214986,-67
506,30.08.22,215053,+54
507,29.08.22,214999,+175
508,28.08.22,214824,+291
509,27.08.22,214533,+381
510,26.08.22,214152,+227
511,25.08.22,213925,+215
512,24.08.22,213710,+634
513,23.08.22,213076,+1556
514,22.08.22,211520,+4748
515,21.08.22,206772,+279
516,20.08.22,206493,+330
517,19.08.22,206163,+242
518,18.08.22,205921,+116
519,17.08.22,205805,+62
